term,definition
disclaim,to deny
illiberal,narrow-minded
profundity,intellectual depth
balkanize,"to break up into small, mutually hostile political units"
complementary,serving to compelete something
loath,unwilling; reluctant
fiduciary,held in trust; confidential
insouciance,casual lack of concern; indifference
posit,to put forth; assert
propriety,the state of being proper; appropriateness; standards of what is proper or socially acceptable
acumen,keen insight; shrewdness
quixotic,overly idealistic; impractical
rancorous,bitter; hateful; malevolent
beguiled by,deceived by
agglomerate,to gather into a mass
superseded,to replace
sycophant,a person who flatters; a yes-man
erudite,scholarly
callous,emotionally hardened; unfeeling
duplicity,treachery; deceitfulness
improvident,not thrifty; failing to plan ahead
cabal,a secret political clique or faction
flagrancy,conspicuously bad; offensive; reprehensible
artifices,a skill; a clever device; a sly or artful trick; trickery
pragmatic,practical
rustic,country-like; simple; plain; akward; one who lives in the country
grizzled,having or streked with gray hair
affectless,showing or expressing no emotion
avant-garde,"ahead of the times, especially in the arts"
asperity,harshness of tone or manner
tepid,lukewarm; unenthusiastic; marked by an absence of interest
vacuity,a lack; emptiness or absence
ran the gauntlet,withstood an attack from all sides
sinecure,a position requiring little or no work; an easy job
roundly,strongly or by a large number of people
myopic,"nearsighted; lacking a broad, realistic view of a situation; lacking foresight or discernment"
venerate,to regard with reverence; look up to with great respect
indolence,avoidance of activity or exertion; laziness
inchoate,not fully formed; disorganized; incipient
indemnify,"compensate for a loss, damage, or injury; reimburse; repay"
baying,"howling in a deep way, like a dog or wolf"
complacence/complacency,self-satisfaction; smugness
insipid,lacking interest or flavor
calumnies,false and malicious statements;slander
preternatural,beyond what is normal or natural
equivocal,open to more than one interpretation; ambiguous
stigmatized,identified with disgrace; condemned
convoluted,intricate and complicated
stolid,unemotional; lacking sensitivity
hegemony,domination over others
perspicacious,keen; mentally sharp
mercurial,liable to sudden unpredictable change
opulent,wealthy; luxurious; ample; grandiose
diffident,shy; lacking self-confidence; modest; reserved
warily,cautiously; with great care
ebullient,cheerful and full of energy
polemical,causing debate or argument
abreast of,to remain current
munificent,very generous
ponderous,slow and clumsy because of great weight
precocious,talented beyond one's age
lionize,to treat as a celebrity
paragon,a model of excellence or perfection
consecration,dedication to the service or worship of a god
modishness,in the current fashion; stylish
dogmatic,stubbornly opinionated
cajole,"to coax, persuade through flattery or artifice; to deceive with soothing thoughts or false promises"
unseemly,not suitable;inappropriate or improper
fecund,fertile; productive
parlous,full of danger or risk; perilous
presage,to foretell; indicate in advance
supplant,to take the place of; supersede
sanguine,cheerful; optimistic
discerning,having or revealing keen insight and good judgement; shrewd
bucolic,pertaining to the countryside; rural; rustic
amortized,reducing a debt
guilless,without deceit
obloquies,abusive language
acerbic,bitter; sharp in taste or temper
maladroitness,clumsiness; awkwardness
paean,"a song of praise, joy, or triumph"
inform,"inspire; animate; give substance, essence, or context to; be the characteristic quality of"
explicate,to make plain or clear; explain; to interpret
imperious,overbearing; arrogant; seeking to dominate; pressing; compelling
immutable,unchangeable
coalesced,joined together into a whole
inscrutable,impossible to understand or interpret
emblematic of,representative of
perpetuity,a time period lasting through the ages; eternity
facetious,humourous; not meant seriously
assuage,to make easier or milder; relieve; to quiet; calm; to put an end to; appease; satisfy; quench
screed,an abusive rant (often tedious)
probity,honesty; integrity
volubility,talkativeness
redresses,corrects or rights a wrong
profligate,wasteful and immoral
iconoclasm,"opposing or even destroying images, especially those set up for religious veneration in the belief that such images represent idol worship"
obsequious,obedient or attentive to an excessive or servile degree
canard,a false rumor; fabricated story
sophistry,a deliberately deceptive or misleading argument; use of fallacious arguments
pallid,pale
ameliorating,making better
counterpoint,contrasting item; opposite; a complement; the use of contrast or interplay in a work of art
repertory,the range of works an artist can product or perform
macabre,grisly; gruisome; horrible; distressing; having death as a subject
evanescent,vanishing; soon passing away; light and airy
gainsay,to deny; dispute; oppose
congenial,getting on well with others; agreeable; pleasant
whimsical,"subject to odd ideas, notions, or passing fancies; playful; unpredictable"
allegorical,symbolic; metaphorical
reverent,deeply respectful
lascivious,lustful or lewd
code,an added ending
deposed,removed from office or power
dissolute,loose in one's morals or behavior
infirmity,"a weakness or ailment(physical, mental, moral, etc.)"
tendentious,biased; opinionated
parochial,limited in range or scope; narrow; provincial
faculties,inherent mental or physical powers
subsdervient to,prepared to obey others unquestioningly
simulacrum,an image or representation of someone or something
derivative,unoriginal; taken from something already existing
artisan,a skilled craftsperson
dismissed,sent away
inimical,hostile; unfriendly
incendiary,combustible; flammable; burning easily
eschew,to avoid; shun; keep away from
doting,extremely and uncritically fond of someone; adoring
asceticism,"severe self-discipline and avoidane of all forms of indulgence, typicall for religious reasons"
brusque,short; abrupt; dismissive
castigate,to criticize or punish severely; scold
simpatico,being of one mind
providential,happening by good fortune
denigrate,to attack the reputation of; to speak ill of
fatuous,stupid or foolish in a self-satisfied way
pithy,brief and full of meaning and substance; concise
verdant,green in tint or color; immature in experience or judgement
parsimony,stinginess
capricious,subject towhims or passing fancies
caustic, biting in wit; sarcastic/sharp
interlocutor,someone who participates in a conversation
leery of,cautious
aghast,horrified
hector,to bully; to pester
assiduous,diligent
hoi polloi,the common people; the masses
desultory,jumping from one thing to another; disconnected
