term,definition
disclaim,to deny
insouciance,casual lack of concern; indifference
duplicity,treachery; deceitfulness
affectless,showing or expressing no emotion
stolid,unemotional; lacking sensitivity
perspicacious,keen; mentally sharp
unseemly,not suitable; inappropriate or improper
discerning,having or revealing keen insight and good judgement; shrewd
assuage,to make easier or milder; relieve; to quiet; calm; to put an end to; appease; satisfy; quench
volubility,talkativeness
congenial,getting on well with others; agreeable; pleasant
dissolute,loose in one's morals or behavior
tendentious,biased; opinionated
subservient to,prepared to obey others unquestioningly
denigrate,to attack the reputation of; to speak ill of
panned,to criticize severely
askance to,with an attitude or look of suspicion or disapproval
cogent,forceful; convincing; relevant; to the point
veracity,truthfulness; honesty
dissemble,to disguise; to pretend
sangfoid,"composure or coolness, especially in trying circumstances"
avaricious,excessively greedy
assent,to express agreement; agreement
decamped,having left quickly and/or secretly
chary of,suspicious or slightly scared of
protean,changeable
sagacious,wise; having keen perception and sound judgement
wend,"go in a specified direction, typically slowly or by an indirect route"
oeuvre,"the works of a painter, composer, or author regarded collectively"
audacious,showing a willingness to take surprisingly bold risks
succor,assistance and support in times of hardship and distress
dolor,a state of great sorrow or distress
adulation,uncritical admiration and praise of
salience,the quality of being particularly noticeable or important; prominence
recompense,make amends to (someone) for loss or harm suffered; compensate
cosseted,cared for and protected in an overindulgent way; pampered
cadged,ask for or obtain (something which one is not strictly entitled)
requited,"make appropriate return for (a favor, service, or wrongdoing)"
puerile,childishly silly and trivial
gibe,an insulting remark intended to make someone look foolish
internecine,destructive to both sides in a conflict
priggish,self-righteously moralistic and superior
